s01a_03,s01a_02,area,depto,s01a_07_1,s01a_09,yhogpc,niv_ed,s06a_06,s06a_07,s06a_12,Real_No_Asiste,Pred_Logistica,Prob_Logistica,Pred_RandomForest,Prob_RandomForest
15.0,1.0,1.0,3.0,6.0,2.0,2269.4443359375,3.0,5.0,1.0,1.0,0,0,0.08830581518988978,0,0.0
17.0,2.0,1.0,7.0,6.0,2.0,1900.0,3.0,8.0,1.0,1.0,0,0,0.39029584313665433,0,0.0
9.0,1.0,1.0,2.0,6.0,1.0,1063.199951171875,1.0,5.0,1.0,1.0,0,0,0.010817718284111728,0,0.0
16.0,1.0,1.0,7.0,6.0,2.0,1372.666748046875,3.0,8.0,1.0,1.0,0,0,0.30011522441688004,0,0.0033333333333333335
6.0,1.0,1.0,6.0,6.0,2.0,717.8571166992188,0.0,8.0,1.0,1.0,0,0,0.1236048059723669,0,0.12333333333333334
9.0,1.0,1.0,4.0,6.0,2.0,899.2999877929688,1.0,8.0,1.0,1.0,0,0,0.008369340134723135,0,0.0
13.0,1.0,1.0,7.0,6.0,2.0,1754.1666259765625,3.0,8.0,1.0,1.0,0,0,0.04391769734606828,0,0.0
11.0,2.0,1.0,3.0,6.0,2.0,1089.8582763671875,1.0,5.0,1.0,1.0,0,0,0.02839512425439145,0,0.0
9.0,1.0,1.0,3.0,6.0,2.0,1136.0,1.0,8.0,1.0,1.0,0,0,0.007395208614010032,0,0.0
7.0,1.0,1.0,2.0,6.0,1.0,894.0,0.0,5.0,2.0,1.0,0,0,0.3570475537593949,0,0.0033333333333333335
19.0,2.0,1.0,2.0,6.0,2.0,2108.7099609375,4.0,5.0,1.0,1.0,0,1,0.902706208876326,0,0.06
11.0,1.0,1.0,9.0,6.0,2.0,1480.0,1.0,5.0,1.0,1.0,0,0,0.0693238112623133,0,0.0033333333333333335
12.0,2.0,1.0,8.0,6.0,2.0,1226.8333740234375,3.0,5.0,1.0,1.0,0,0,0.010122412478395935,0,0.0
19.0,1.0,1.0,7.0,6.0,2.0,1474.0,4.0,8.0,2.0,1.0,0,1,0.9813592188004119,1,0.5633333333333334
18.0,2.0,1.0,2.0,6.0,2.0,864.0086059570312,3.0,5.0,1.0,1.0,0,0,0.46445270109195874,0,0.043333333333333335
18.0,2.0,1.0,7.0,6.0,2.0,1033.2667236328125,5.0,5.0,1.0,1.0,0,0,0.3037155667443529,0,0.08666666666666667
9.0,2.0,2.0,6.0,6.0,2.0,501.3416442871094,1.0,5.0,7.0,1.0,0,0,0.05045486215063144,0,0.0
10.0,1.0,1.0,1.0,6.0,2.0,989.8800048828125,1.0,8.0,1.0,1.0,0,0,0.023089618052341252,0,0.0
14.0,1.0,1.0,7.0,6.0,2.0,499.75,3.0,5.0,1.0,1.0,0,0,0.11149969016977823,0,0.006666666666666667
15.0,1.0,2.0,7.0,6.0,2.0,470.4166564941406,3.0,5.0,6.0,1.0,0,1,0.5879044961344323,0,0.056666666666666664
15.0,1.0,1.0,3.0,6.0,2.0,1519.7750244140625,3.0,5.0,1.0,1.0,0,0,0.09181732267925524,0,0.0
12.0,1.0,2.0,5.0,6.0,2.0,630.0000610351562,2.0,1.0,6.0,1.0,0,0,0.47834550894600186,0,0.03666666666666667
6.0,2.0,2.0,9.0,6.0,2.0,1762.9285888671875,1.0,2.0,8.0,1.0,0,0,0.004072083516807237,0,0.006666666666666667
10.0,2.0,1.0,5.0,6.0,2.0,881.2037353515625,1.0,5.0,8.0,1.0,0,0,0.02393921360175789,0,0.0
9.0,1.0,1.0,3.0,6.0,2.0,461.4285583496094,1.0,6.0,1.0,1.0,0,0,0.010917137216131198,0,0.0
15.0,1.0,2.0,2.0,6.0,1.0,1216.316650390625,3.0,8.0,6.0,1.0,0,0,0.3555353458287432,0,0.023333333333333334
17.0,2.0,2.0,3.0,6.0,1.0,1304.385009765625,3.0,5.0,7.0,1.0,0,1,0.5667099702824707,0,0.03666666666666667
8.0,1.0,2.0,5.0,6.0,2.0,352.5000305175781,1.0,5.0,6.0,1.0,0,0,0.02179339837501077,0,0.0
9.0,1.0,2.0,4.0,6.0,2.0,871.9000244140625,1.0,8.0,2.0,1.0,0,0,0.030522540977716544,0,0.0
11.0,1.0,1.0,2.0,6.0,2.0,1668.9776611328125,1.0,5.0,6.0,1.0,0,0,0.14480560703973666,0,0.0
12.0,1.0,2.0,2.0,6.0,2.0,713.75,1.0,8.0,8.0,1.0,0,0,0.19901647887754842,0,0.0
7.0,1.0,1.0,2.0,6.0,2.0,826.875,1.0,5.0,2.0,1.0,0,0,0.00634327786961936,0,0.0
10.0,1.0,1.0,8.0,6.0,2.0,599.6666870117188,1.0,8.0,6.0,1.0,0,0,0.06636987395386934,0,0.0
12.0,2.0,1.0,8.0,6.0,2.0,1980.0,2.0,6.0,6.0,1.0,0,0,0.21231475628539723,0,0.0033333333333333335
19.0,2.0,1.0,4.0,6.0,2.0,850.0,4.0,5.0,2.0,1.0,1,1,0.9570898921704876,0,0.4266666666666667
19.0,1.0,1.0,7.0,6.0,2.0,1236.4000244140625,4.0,5.0,2.0,1.0,1,1,0.984830039599173,1,0.6033333333333334
12.0,1.0,1.0,7.0,6.0,2.0,2513.333251953125,1.0,8.0,2.0,1.0,0,0,0.2747051207049442,0,0.0
17.0,2.0,2.0,5.0,6.0,1.0,111.11111450195312,3.0,8.0,6.0,1.0,1,1,0.5818540172632574,0,0.2
9.0,1.0,1.0,7.0,6.0,2.0,1581.5001220703125,1.0,6.0,1.0,1.0,0,0,0.024714833862518677,0,0.0
13.0,1.0,1.0,3.0,6.0,2.0,522.5,3.0,8.0,1.0,1.0,0,0,0.019738168372988647,0,0.0
17.0,1.0,1.0,3.0,6.0,2.0,495.0,3.0,8.0,1.0,1.0,0,0,0.27800060801529786,0,0.0
12.0,2.0,1.0,2.0,6.0,2.0,2153.199951171875,1.0,5.0,1.0,1.0,0,0,0.06599297011813435,0,0.01
7.0,1.0,2.0,7.0,6.0,2.0,703.625,1.0,1.0,1.0,1.0,0,0,0.018915411170199067,0,0.016666666666666666
13.0,2.0,1.0,2.0,6.0,1.0,633.4166259765625,2.0,5.0,1.0,1.0,0,0,0.12354716528791188,0,0.0
16.0,1.0,1.0,7.0,6.0,2.0,422.02996826171875,3.0,5.0,1.0,1.0,0,0,0.35516221370478374,0,0.016666666666666666
7.0,1.0,1.0,4.0,6.0,2.0,1134.13330078125,1.0,8.0,2.0,1.0,0,0,0.004666785814405194,0,0.0
8.0,1.0,1.0,2.0,6.0,2.0,1319.0,1.0,5.0,1.0,1.0,0,0,0.005245925981661132,0,0.0
6.0,1.0,2.0,5.0,6.0,2.0,154.41665649414062,0.0,5.0,7.0,1.0,0,0,0.2563907022902176,0,0.013333333333333334
17.0,2.0,1.0,8.0,6.0,2.0,1169.0999755859375,3.0,1.0,6.0,1.0,1,1,0.7823087464868521,0,0.09333333333333334
16.0,1.0,1.0,7.0,6.0,2.0,2316.666748046875,3.0,8.0,1.0,1.0,0,0,0.2889041966624206,0,0.0033333333333333335
14.0,2.0,1.0,7.0,6.0,2.0,4570.5,3.0,6.0,1.0,1.0,0,0,0.07898634820129434,0,0.0
17.0,1.0,1.0,3.0,6.0,2.0,4010.39990234375,3.0,5.0,1.0,1.0,0,0,0.27700387490837663,0,0.17
13.0,2.0,1.0,2.0,6.0,2.0,740.0,2.0,5.0,1.0,1.0,0,0,0.12534523000898634,0,0.0
15.0,1.0,1.0,7.0,6.0,2.0,5779.16650390625,3.0,8.0,1.0,1.0,0,0,0.13752915437456006,0,0.0
7.0,1.0,2.0,5.0,27.0,1.0,546.6666259765625,1.0,5.0,8.0,1.0,0,0,0.011046656765648935,0,0.006666666666666667
14.0,1.0,1.0,8.0,6.0,2.0,1726.5875244140625,3.0,1.0,1.0,1.0,0,0,0.1261638347675831,0,0.013333333333333334
19.0,2.0,1.0,4.0,6.0,2.0,1333.3333740234375,3.0,8.0,1.0,1.0,0,1,0.5688150975481618,0,0.06333333333333334
9.0,2.0,1.0,7.0,6.0,2.0,2367.71435546875,1.0,5.0,2.0,1.0,0,0,0.03608796472329023,0,0.013333333333333334
8.0,2.0,1.0,7.0,6.0,2.0,2072.419921875,1.0,8.0,2.0,1.0,0,0,0.014752702132852463,0,0.03666666666666667
16.0,2.0,1.0,7.0,6.0,2.0,2759.166748046875,3.0,8.0,1.0,1.0,0,0,0.22574323431831547,0,0.0
9.0,1.0,1.0,7.0,6.0,2.0,1239.5833740234375,1.0,8.0,1.0,1.0,0,0,0.017805609092740517,0,0.0033333333333333335
11.0,1.0,1.0,3.0,6.0,2.0,2105.0,1.0,8.0,1.0,1.0,0,0,0.02987954966357541,0,0.0
18.0,2.0,1.0,4.0,6.0,2.0,1320.0,4.0,3.0,1.0,1.0,0,1,0.7412614712066594,0,0.07333333333333333
15.0,1.0,1.0,2.0,6.0,2.0,1151.8443603515625,3.0,5.0,1.0,1.0,0,0,0.11260996178035913,0,0.0
17.0,2.0,2.0,8.0,6.0,2.0,2746.0,4.0,5.0,2.0,1.0,1,1,0.884503143314248,1,0.5866666666666667
9.0,1.0,2.0,8.0,6.0,2.0,1345.8333740234375,1.0,5.0,5.0,1.0,0,0,0.02352331143864695,0,0.0033333333333333335
18.0,1.0,1.0,7.0,6.0,2.0,1325.0,4.0,8.0,2.0,1.0,0,1,0.9621223780858634,0,0.12
7.0,1.0,2.0,4.0,6.0,2.0,676.3888549804688,1.0,7.0,7.0,1.0,0,0,0.006931412153296364,0,0.0
9.0,2.0,1.0,4.0,6.0,2.0,1989.5833740234375,1.0,6.0,1.0,1.0,0,0,0.008251258163035957,0,0.0
11.0,1.0,2.0,2.0,6.0,1.0,40.0,2.0,4.0,8.0,2.0,0,0,0.15040333646091839,0,0.03
16.0,1.0,1.0,2.0,6.0,2.0,820.0,3.0,5.0,2.0,1.0,0,0,0.39943427471782506,0,0.0033333333333333335
14.0,1.0,2.0,3.0,6.0,1.0,600.7899780273438,3.0,5.0,7.0,1.0,0,0,0.16842786728111966,0,0.02
16.0,2.0,1.0,6.0,6.0,2.0,951.2919921875,3.0,5.0,1.0,1.0,0,0,0.23295318069363397,0,0.0
11.0,1.0,1.0,3.0,6.0,2.0,741.6666870117188,1.0,8.0,9.0,1.0,0,0,0.034937733484449104,0,0.0
13.0,2.0,2.0,9.0,6.0,2.0,276.19049072265625,3.0,8.0,6.0,1.0,0,0,0.1353514470927265,0,0.01
13.0,2.0,1.0,2.0,6.0,2.0,1348.0,2.0,5.0,1.0,1.0,0,0,0.12158418299004337,0,0.0
15.0,1.0,1.0,2.0,6.0,2.0,779.4000244140625,3.0,5.0,1.0,1.0,0,0,0.1147551008019228,0,0.0
7.0,2.0,2.0,9.0,6.0,2.0,979.1666870117188,1.0,1.0,3.0,1.0,0,0,0.04073489353043989,0,0.02666666666666667
9.0,2.0,1.0,1.0,6.0,2.0,452.46429443359375,1.0,5.0,2.0,1.0,0,0,0.025040764719453164,0,0.0
7.0,2.0,2.0,4.0,6.0,2.0,1615.0,0.0,3.0,7.0,1.0,0,0,0.2902379287718038,0,0.023333333333333334
9.0,2.0,2.0,4.0,6.0,1.0,820.625,1.0,5.0,2.0,1.0,0,0,0.026897104574379216,0,0.0033333333333333335
16.0,1.0,1.0,3.0,6.0,2.0,1683.3333740234375,3.0,8.0,5.0,1.0,0,0,0.19856036084206322,0,0.0033333333333333335
10.0,2.0,1.0,7.0,6.0,1.0,2802.31982421875,1.0,5.0,2.0,1.0,0,0,0.06945079584626632,0,0.0
12.0,1.0,1.0,1.0,6.0,2.0,1750.0,3.0,6.0,1.0,1.0,0,0,0.01890115682001668,0,0.0
15.0,1.0,1.0,7.0,6.0,2.0,1572.083251953125,3.0,8.0,2.0,1.0,0,0,0.33287000717649307,0,0.1
11.0,2.0,1.0,5.0,27.0,2.0,535.5999755859375,1.0,5.0,7.0,1.0,0,0,0.12947152548720753,0,0.016666666666666666
10.0,2.0,1.0,3.0,6.0,2.0,1219.4000244140625,1.0,8.0,6.0,1.0,0,0,0.03930523775303082,0,0.0033333333333333335
16.0,2.0,1.0,1.0,6.0,2.0,341.66668701171875,3.0,7.0,1.0,1.0,0,0,0.15304430427258683,0,0.0
13.0,2.0,1.0,2.0,6.0,2.0,1450.2733154296875,3.0,5.0,1.0,1.0,0,0,0.02058166373445375,0,0.0
10.0,1.0,1.0,5.0,6.0,2.0,720.8333129882812,1.0,5.0,2.0,1.0,0,0,0.04140342561770271,0,0.0
15.0,2.0,2.0,3.0,6.0,2.0,637.8571166992188,3.0,7.0,7.0,1.0,1,0,0.18667395963643812,0,0.016666666666666666
16.0,1.0,1.0,2.0,6.0,1.0,979.4666137695312,3.0,5.0,1.0,1.0,0,0,0.20754744689239885,0,0.0
9.0,2.0,2.0,4.0,6.0,2.0,118.0555648803711,1.0,1.0,7.0,1.0,0,0,0.07286631389049592,0,0.0033333333333333335
12.0,2.0,2.0,4.0,6.0,2.0,394.2222595214844,1.0,8.0,8.0,1.0,0,0,0.14482879523179643,0,0.0
12.0,1.0,1.0,2.0,6.0,1.0,6244.7919921875,1.0,5.0,1.0,1.0,0,0,0.06914329007776573,0,0.02666666666666667
12.0,1.0,1.0,7.0,6.0,2.0,656.5,3.0,1.0,6.0,1.0,0,0,0.19988156120516795,0,0.10666666666666667
9.0,1.0,1.0,9.0,6.0,2.0,924.8822631835938,1.0,5.0,2.0,1.0,0,0,0.041495171143854634,0,0.0033333333333333335
8.0,1.0,2.0,6.0,6.0,2.0,281.25,1.0,8.0,7.0,1.0,0,0,0.027946187139247142,0,0.0
6.0,1.0,1.0,2.0,6.0,2.0,338.5375061035156,0.0,5.0,1.0,1.0,0,0,0.10234684841094756,0,0.0033333333333333335
7.0,1.0,1.0,3.0,6.0,2.0,2870.833251953125,1.0,8.0,1.0,1.0,0,0,0.001541715691109567,0,0.0
15.0,1.0,1.0,2.0,6.0,2.0,2639.091796875,3.0,8.0,1.0,1.0,0,0,0.08743574653570586,0,0.0
16.0,2.0,1.0,2.0,6.0,2.0,1317.333251953125,3.0,3.0,1.0,1.0,0,0,0.11600532454055644,0,0.0
8.0,1.0,2.0,5.0,6.0,2.0,989.25,1.0,5.0,2.0,1.0,0,0,0.01452263076571835,0,0.0033333333333333335
17.0,2.0,1.0,2.0,6.0,2.0,2000.0,3.0,3.0,1.0,1.0,0,0,0.2087435299113143,0,0.0
15.0,1.0,1.0,2.0,6.0,2.0,1487.5556640625,3.0,5.0,1.0,1.0,0,0,0.11070647503906843,0,0.0
8.0,1.0,1.0,7.0,6.0,2.0,2550.0,1.0,6.0,1.0,1.0,0,0,0.011340016658114896,0,0.0
7.0,1.0,1.0,7.0,6.0,2.0,1024.0555419921875,0.0,8.0,2.0,1.0,0,0,0.47997672222963234,0,0.0033333333333333335
13.0,1.0,1.0,7.0,6.0,2.0,2655.5556640625,3.0,6.0,1.0,1.0,0,0,0.05854896865434288,0,0.0
6.0,2.0,1.0,4.0,6.0,2.0,1082.5,0.0,5.0,1.0,1.0,0,0,0.06814711134408077,0,0.0033333333333333335
18.0,1.0,1.0,6.0,6.0,2.0,1324.0,4.0,5.0,1.0,1.0,0,1,0.9065355487933104,0,0.47333333333333333
16.0,1.0,2.0,7.0,6.0,2.0,372.0,3.0,1.0,2.0,1.0,0,1,0.8342834655452576,0,0.16333333333333333
18.0,2.0,1.0,3.0,6.0,2.0,1056.9259033203125,4.0,5.0,9.0,1.0,0,1,0.806572725960082,1,0.59
9.0,2.0,1.0,5.0,6.0,1.0,672.7083740234375,1.0,5.0,1.0,1.0,0,0,0.006023703462972777,0,0.0
12.0,1.0,1.0,2.0,6.0,2.0,2889.583251953125,2.0,4.0,1.0,1.0,0,0,0.07459543905361499,0,0.0
16.0,1.0,2.0,3.0,27.0,2.0,597.3333740234375,3.0,8.0,5.0,1.0,0,0,0.4474928109101956,0,0.05333333333333334
8.0,2.0,2.0,7.0,6.0,2.0,400.2778015136719,1.0,1.0,2.0,2.0,0,0,0.09268987550253838,0,0.02666666666666667
8.0,1.0,2.0,5.0,6.0,1.0,659.3333129882812,1.0,5.0,7.0,1.0,0,0,0.015768421812605345,0,0.0
15.0,2.0,1.0,3.0,6.0,2.0,795.7599487304688,3.0,8.0,5.0,1.0,0,0,0.08406149241967324,0,0.0
14.0,2.0,2.0,3.0,27.0,1.0,630.9000244140625,3.0,5.0,7.0,1.0,0,0,0.2319597697657519,0,0.01
14.0,2.0,1.0,7.0,6.0,2.0,626.6666259765625,3.0,7.0,2.0,1.0,0,0,0.14000039243193577,0,0.0
16.0,2.0,1.0,2.0,6.0,2.0,1252.0833740234375,3.0,5.0,1.0,1.0,0,0,0.1625658316898728,0,0.0
17.0,2.0,2.0,3.0,6.0,2.0,631.9444580078125,3.0,5.0,5.0,1.0,0,0,0.4270913184718832,0,0.03
10.0,1.0,1.0,1.0,6.0,2.0,1242.219970703125,1.0,8.0,1.0,1.0,0,0,0.022766474804185036,0,0.0
11.0,1.0,1.0,9.0,6.0,2.0,1524.0,1.0,8.0,1.0,1.0,0,0,0.05756126469509626,0,0.0
13.0,1.0,1.0,1.0,6.0,2.0,949.4816284179688,3.0,8.0,1.0,1.0,0,0,0.028724467338527286,0,0.0
16.0,2.0,1.0,9.0,6.0,2.0,1284.0,3.0,8.0,1.0,1.0,0,0,0.19910267338772195,0,0.0
7.0,1.0,1.0,2.0,6.0,2.0,980.0,0.0,5.0,1.0,1.0,0,0,0.1868268725183879,0,0.0
17.0,1.0,1.0,2.0,6.0,2.0,3675.0,3.0,6.0,1.0,1.0,0,0,0.3599848394452562,0,0.0033333333333333335
9.0,1.0,1.0,8.0,6.0,2.0,1839.333251953125,1.0,8.0,6.0,1.0,0,0,0.03070854194841687,0,0.0
9.0,1.0,1.0,7.0,6.0,2.0,600.0,1.0,5.0,2.0,1.0,0,0,0.05327745616440461,0,0.0
10.0,2.0,1.0,7.0,6.0,2.0,1026.0533447265625,0.0,5.0,5.0,1.0,1,1,0.8153721354901584,0,0.07333333333333333
17.0,1.0,1.0,7.0,6.0,2.0,1390.5167236328125,3.0,8.0,1.0,1.0,0,0,0.47241641083460195,0,0.0
17.0,1.0,1.0,9.0,6.0,2.0,3203.666748046875,3.0,6.0,1.0,1.0,0,0,0.4741900119862515,0,0.013333333333333334
12.0,1.0,2.0,5.0,6.0,2.0,511.8388671875,1.0,5.0,7.0,1.0,0,0,0.23984437349400325,0,0.0
18.0,2.0,1.0,3.0,6.0,2.0,1535.833251953125,3.0,5.0,1.0,1.0,0,0,0.4044176799001131,0,0.023333333333333334
18.0,1.0,1.0,7.0,6.0,2.0,2036.9833984375,3.0,5.0,1.0,1.0,0,1,0.6869513570690553,0,0.10666666666666667
11.0,2.0,1.0,7.0,6.0,2.0,845.8214111328125,1.0,1.0,1.0,1.0,0,0,0.15075462052647415,0,0.016666666666666666
10.0,1.0,1.0,7.0,6.0,2.0,1250.9832763671875,1.0,6.0,2.0,2.0,0,0,0.15448899846148326,0,0.07
13.0,1.0,1.0,7.0,6.0,2.0,869.3333129882812,3.0,8.0,1.0,1.0,0,0,0.046091199546058226,0,0.0
11.0,2.0,1.0,7.0,6.0,2.0,1470.166748046875,1.0,5.0,1.0,1.0,0,0,0.06541653347123381,0,0.0
11.0,2.0,1.0,7.0,6.0,2.0,941.8777465820312,1.0,1.0,2.0,1.0,0,0,0.3028112027645361,0,0.013333333333333334
12.0,2.0,1.0,2.0,6.0,2.0,2505.555419921875,2.0,8.0,7.0,1.0,0,0,0.12031518237587213,0,0.013333333333333334
6.0,1.0,1.0,3.0,6.0,2.0,974.7999877929688,0.0,5.0,1.0,1.0,0,0,0.08210792499365488,0,0.0
17.0,2.0,1.0,5.0,6.0,1.0,437.1875,3.0,8.0,1.0,1.0,1,0,0.20099719671635002,0,0.30666666666666664
13.0,2.0,1.0,2.0,6.0,2.0,609.4444580078125,2.0,5.0,1.0,1.0,0,0,0.1261657256220625,0,0.0
17.0,2.0,1.0,2.0,6.0,2.0,1067.3519287109375,3.0,5.0,1.0,1.0,0,0,0.29082584435634606,0,0.006666666666666667
10.0,2.0,1.0,7.0,6.0,2.0,1194.6666259765625,1.0,8.0,2.0,1.0,0,0,0.06436567021777985,0,0.0
6.0,1.0,2.0,9.0,6.0,2.0,765.2222290039062,0.0,1.0,6.0,2.0,0,1,0.7604528305635571,0,0.07666666666666666
17.0,2.0,2.0,9.0,6.0,2.0,310.9166564941406,1.0,2.0,2.0,1.0,1,1,0.9499920505506659,0,0.32
10.0,1.0,1.0,4.0,6.0,2.0,1000.0,1.0,5.0,2.0,1.0,0,0,0.0498790995080154,0,0.0
13.0,2.0,1.0,2.0,6.0,2.0,1140.8125,1.0,5.0,1.0,1.0,1,0,0.13531726483732898,0,0.0
9.0,1.0,1.0,2.0,6.0,1.0,1891.6666259765625,1.0,5.0,1.0,1.0,0,0,0.010322514791716074,0,0.0033333333333333335
9.0,1.0,2.0,2.0,6.0,2.0,513.3333740234375,1.0,8.0,8.0,1.0,0,0,0.026779722213728728,0,0.009737452651483836
18.0,1.0,1.0,7.0,6.0,2.0,1256.0,3.0,8.0,1.0,1.0,0,1,0.6535240971775785,0,0.01
8.0,1.0,1.0,2.0,6.0,2.0,1282.3519287109375,1.0,5.0,1.0,1.0,0,0,0.005256869619022859,0,0.0
6.0,1.0,1.0,4.0,6.0,2.0,640.4199829101562,0.0,8.0,2.0,1.0,0,0,0.17086901769385082,0,0.08666666666666667
11.0,1.0,2.0,1.0,27.0,2.0,523.3333740234375,1.0,8.0,7.0,1.0,0,0,0.29503632517458284,0,0.0
6.0,1.0,1.0,2.0,6.0,2.0,2697.222412109375,0.0,5.0,2.0,1.0,0,0,0.1968642840222767,0,0.0033333333333333335
18.0,2.0,2.0,3.0,27.0,1.0,693.888916015625,4.0,8.0,7.0,1.0,1,1,0.9629006629009239,1,0.6066666666666667
16.0,1.0,1.0,2.0,6.0,1.0,1246.6666259765625,3.0,5.0,1.0,1.0,0,0,0.20504649385534965,0,0.0033333333333333335
18.0,2.0,1.0,3.0,6.0,2.0,797.5,3.0,6.0,2.0,1.0,0,1,0.671254719371133,0,0.02666666666666667
7.0,2.0,1.0,2.0,6.0,2.0,1000.0,1.0,3.0,1.0,1.0,0,0,0.0012814826994423279,0,0.0
9.0,1.0,1.0,2.0,6.0,2.0,693.47998046875,1.0,5.0,1.0,1.0,0,0,0.011295808705601278,0,0.0
15.0,1.0,1.0,6.0,6.0,2.0,1095.0,3.0,5.0,1.0,1.0,0,0,0.16372762472230892,0,0.0
18.0,2.0,1.0,2.0,6.0,1.0,877.5,3.0,5.0,1.0,1.0,0,0,0.45864572311104573,0,0.01
10.0,2.0,1.0,6.0,6.0,2.0,851.0833129882812,1.0,5.0,2.0,1.0,0,0,0.061829329165622476,0,0.0
17.0,2.0,1.0,2.0,6.0,2.0,584.2857055664062,3.0,5.0,1.0,1.0,0,0,0.2965538455520389,0,0.0
16.0,2.0,2.0,5.0,27.0,2.0,58.92856979370117,2.0,1.0,7.0,1.0,1,1,0.952885564933339,1,0.6266666666666667
14.0,1.0,1.0,2.0,6.0,2.0,1361.0,3.0,5.0,1.0,1.0,0,0,0.05659186666203269,0,0.0
10.0,1.0,1.0,2.0,6.0,2.0,4285.0,1.0,3.0,1.0,1.0,0,0,0.013025036304483777,0,0.0
17.0,2.0,1.0,2.0,6.0,1.0,202.06666564941406,3.0,2.0,1.0,1.0,0,0,0.30527534576884496,0,0.06
15.0,1.0,1.0,2.0,2.0,2.0,555.8333129882812,3.0,5.0,1.0,1.0,0,0,0.14790436521874045,0,0.0
9.0,1.0,1.0,2.0,6.0,2.0,857.4500122070312,1.0,5.0,1.0,1.0,0,0,0.011191605121943608,0,0.0
6.0,2.0,2.0,9.0,6.0,2.0,1533.107177734375,0.0,1.0,3.0,1.0,0,1,0.6374135332303985,0,0.02666666666666667
11.0,2.0,2.0,1.0,6.0,2.0,1513.3333740234375,1.0,5.0,8.0,1.0,0,0,0.11071644008907747,0,0.0
10.0,1.0,1.0,2.0,6.0,2.0,502.8571472167969,1.0,5.0,2.0,1.0,0,0,0.05606716591831981,0,0.0
13.0,2.0,1.0,7.0,6.0,2.0,4053.633544921875,3.0,8.0,1.0,1.0,0,0,0.028791203841695243,0,0.0
11.0,2.0,1.0,9.0,6.0,2.0,1916.6666259765625,1.0,8.0,1.0,1.0,0,0,0.04210524115716118,0,0.0
9.0,1.0,1.0,2.0,6.0,2.0,1512.5,1.0,3.0,1.0,1.0,0,0,0.007343221831579805,0,0.0
15.0,2.0,1.0,6.0,6.0,2.0,1417.5,3.0,6.0,1.0,1.0,0,0,0.142195676917586,0,0.0
13.0,1.0,2.0,8.0,6.0,1.0,2375.0,3.0,8.0,3.0,1.0,0,0,0.11375370717090788,0,0.02666666666666667
18.0,2.0,1.0,2.0,6.0,1.0,685.8333740234375,3.0,5.0,1.0,1.0,0,0,0.46136729846641894,0,0.006666666666666667
15.0,1.0,1.0,7.0,6.0,2.0,828.1170043945312,3.0,5.0,2.0,1.0,0,0,0.3877637636925047,0,0.0
17.0,2.0,1.0,6.0,6.0,2.0,2897.791748046875,3.0,8.0,1.0,1.0,0,0,0.31829035524027766,0,0.0
11.0,1.0,1.0,2.0,6.0,2.0,584.2857055664062,1.0,5.0,1.0,1.0,0,0,0.047830696878677484,0,0.0
14.0,1.0,1.0,1.0,6.0,2.0,200.0,3.0,5.0,1.0,1.0,0,0,0.07278257207038652,0,0.01
6.0,1.0,2.0,4.0,6.0,2.0,1148.3333740234375,0.0,5.0,7.0,1.0,0,0,0.28688694817063104,0,0.0
14.0,2.0,2.0,3.0,27.0,1.0,323.8095397949219,3.0,1.0,7.0,1.0,0,0,0.4292816774662999,0,0.05333333333333334
10.0,2.0,2.0,7.0,6.0,2.0,605.8333740234375,1.0,8.0,2.0,1.0,0,0,0.09723728191075148,0,0.0
6.0,2.0,1.0,2.0,6.0,2.0,2474.43994140625,0.0,5.0,2.0,1.0,0,0,0.15449501395129941,0,0.03
11.0,2.0,1.0,7.0,6.0,1.0,953.25,1.0,5.0,1.0,1.0,0,0,0.0658429609669596,0,0.0033333333333333335
13.0,1.0,2.0,8.0,6.0,2.0,476.1904602050781,1.0,1.0,4.0,1.0,0,0,0.3334099255552229,0,0.02
8.0,2.0,2.0,3.0,6.0,2.0,1548.6112060546875,1.0,1.0,7.0,1.0,0,0,0.03006799687438518,0,0.0
10.0,2.0,1.0,6.0,6.0,2.0,457.0724792480469,1.0,6.0,1.0,1.0,0,0,0.03110589826636952,0,0.0
7.0,1.0,1.0,5.0,6.0,2.0,542.6500244140625,1.0,5.0,1.0,1.0,0,0,0.0019380572468309736,0,0.0033333333333333335
7.0,1.0,1.0,3.0,6.0,2.0,561.8333129882812,1.0,5.0,2.0,1.0,0,0,0.005245616594973415,0,0.0
15.0,2.0,1.0,3.0,6.0,2.0,1500.0,3.0,6.0,1.0,1.0,0,0,0.08028356184465682,0,0.0
8.0,1.0,1.0,8.0,6.0,2.0,727.6041870117188,1.0,1.0,6.0,1.0,0,0,0.04587507349330359,0,0.0033333333333333335
16.0,2.0,2.0,9.0,6.0,2.0,1881.52783203125,3.0,8.0,6.0,2.0,1,1,0.6421724582218317,0,0.09
6.0,1.0,1.0,9.0,6.0,2.0,1500.89990234375,0.0,5.0,1.0,1.0,0,0,0.14274120349109867,0,0.0033333333333333335
15.0,1.0,1.0,6.0,6.0,2.0,1498.0,3.0,5.0,1.0,1.0,0,0,0.16059775132631599,0,0.0
17.0,1.0,2.0,8.0,6.0,2.0,711.4666748046875,3.0,1.0,8.0,1.0,0,1,0.8020837520322681,0,0.20333333333333334
17.0,2.0,1.0,5.0,6.0,2.0,814.72216796875,3.0,5.0,1.0,1.0,0,0,0.23449942148607753,0,0.0
